GameID,StadiumID,TournamentID,TeamA,TeamB,GameDate,Attendance,TournamentStage
367,79,24,22,27,17-Jun-10,38646,Group stage
368,84,24,55,27,12-Jun-10,45573,Group stage
369,78,24,27,16,18-Jun-10,35827,Group stage
370,79,24,27,63,23-Jun-10,34976,Round of 16
371,77,24,22,16,26-Jun-10,64100,Group stage
372,80,24,55,22,18-Jun-10,36893,Group stage
373,83,24,40,22,23-Jun-10,40510,Round of 16
374,82,24,16,55,27-Jun-10,30325,Group stage
375,85,24,40,65,13-Jun-10,62660,Group stage
376,80,24,40,48,13-Jun-10,38294,Group stage
377,81,24,63,40,18-Jun-10,83391,Group stage
378,85,24,40,14,23-Jun-10,60960,Semi-finals
379,78,24,48,63,7-Jul-10,38833,Group stage
380,79,24,63,65,13-Jun-10,34812,Group stage
381,86,24,65,48,19-Jun-10,37836,Group stage
382,81,24,36,17,23-Jun-10,83465,Group stage
383,85,24,36,53,14-Jun-10,62010,Group stage
384,77,24,28,36,19-Jun-10,63093,Group stage
385,85,24,36,68,24-Jun-10,61962,Round of 16
386,80,24,36,13,28-Jun-10,40186,Quarter-finals
387,81,24,36,14,2-Jul-10,84490,Final
388,83,24,53,28,11-Jul-10,30620,Group stage
389,79,24,17,53,14-Jun-10,27967,Group stage
390,78,24,6,53,24-Jun-10,36742,Round of 16
391,78,24,28,17,29-Jun-10,38074,Group stage
392,77,24,2,6,19-Jun-10,62869,Group stage
393,83,24,68,6,14-Jun-10,26643,Group stage
394,82,24,6,69,20-Jun-10,34850,Group stage
395,84,24,6,14,24-Jun-10,55359,Quarter-finals
396,79,24,69,68,3-Jul-10,23871,Group stage
397,84,24,68,2,15-Jun-10,53412,Group stage
398,86,24,2,69,24-Jun-10,38229,Group stage
399,84,24,13,70,20-Jun-10,54331,Group stage
400,81,24,13,60,15-Jun-10,84455,Group stage
401,85,24,24,13,20-Jun-10,62712,Group stage
402,84,24,13,46,25-Jun-10,54096,Round of 16
403,80,24,60,24,28-Jun-10,37034,Group stage
404,77,24,24,70,15-Jun-10,63644,Group stage
405,77,24,14,24,21-Jun-10,62955,Round of 16
406,86,24,70,60,29-Jun-10,34763,Group stage
407,85,24,14,38,25-Jun-10,62453,Group stage
408,84,24,14,71,16-Jun-10,54386,Group stage
409,78,24,46,14,21-Jun-10,41958,Group stage
410,86,24,71,46,25-Jun-10,32664,Group stage
411,80,24,46,38,16-Jun-10,34872,Group stage
412,83,24,38,71,21-Jun-10,28042,Group stage
413,77,24,2,6,25-Jun-10,62869,Group stage
414,83,24,68,6,14-Jun-10,26643,Group stage
415,82,24,6,69,20-Jun-10,34850,Group stage
416,84,24,6,14,24-Jun-10,55359,Quarter-finals
417,79,24,69,68,3-Jul-10,23871,Group stage
418,84,24,68,2,15-Jun-10,53412,Group stage
419,86,24,2,69,24-Jun-10,38229,Group stage
420,84,24,13,70,20-Jun-10,54331,Group stage
421,81,24,13,60,15-Jun-10,84455,Group stage
422,85,24,24,13,20-Jun-10,62712,Group stage
423,84,24,13,46,25-Jun-10,54096,Round of 16
424,80,24,60,24,28-Jun-10,37034,Group stage
425,77,24,24,70,15-Jun-10,63644,Group stage
426,77,24,14,24,21-Jun-10,62955,Round of 16
427,86,24,70,60,29-Jun-10,34763,Group stage
428,85,24,14,38,25-Jun-10,62453,Group stage
429,84,24,14,71,16-Jun-10,54386,Group stage
430,78,24,46,14,21-Jun-10,41958,Group stage
431,86,24,71,46,25-Jun-10,32664,Group stage
432,80,24,46,38,16-Jun-10,34872,Group stage
433,86,24,38,71,21-Jun-10,28042,Group stage
