
Name,Position,Height,Weight,Born
Jimmy Quinn,FW,183,0,"November 18, 1959"
Paul Ramsey,DF-MF,178,0,"September 3, 1962"
Mahmoud Guendouz,DF,184,76,"February 24, 1953"
Mohamed Kaci-Said,MF,174,71,"May 2, 1958"
Faouzi Mansouri,DF,176,73,"January 17, 1956"
Rabah Madjer,FW,178,69,"February 15, 1958"
Lakhdar Belloumi,MF,178,0,"December 29, 1958"
Halim Benmabrouk,MF,180,70,"June 25, 1960"
Noureddine Kourichi,DF,193,87,"April 12, 1954"
Abdellah Liegeon,DF,175,71,"December 13, 1957"
Karim Maroc,FW-MF,172,0,"March 5, 1958"
Fodil Megharia,DF,0,0,"May 23, 1961"
Salah Assad,FW,184,0,"March 13, 1958"
Djamel Zidane,FW,180,72,"April 28, 1955"
Nacerdine Drid,GK,180,0,"January 22, 1957"
Larbi El Hadi,GK,179,80,"May 27, 1961"
Rachid Harkouk,FW-MF,183,0,"May 19, 1956"
Djamel Menad,FW,176,73,"July 22, 1960"
Tedj Bensaoula,FW-MF,182,73,"December 1, 1954"
Mourad Amara,GK,174,0,"February 19, 1959"
Fawzi Benkhalidi,FW-MF,0,0,"February 3, 1963"
Mohamed Chaïb,DF,0,0,"May 20, 1957"
Fathi Chebal,DF-MF,170,64,"August 19, 1956"
Abdelhamid Sadmi,DF-MF,183,0,"January 1, 1961"
Søren Busk,DF,183,80,"April 10, 1953"
Søren Lerby,MF,184,82,"February 1, 1958"
Morten Olsen,DF-MF,183,74,"August 14, 1949"
Michael Laudrup,MF,183,71,"June 15, 1964"
Preben Elkjær,FW,183,0,"September 11, 1957"
Klaus Berggreen,MF,182,0,"February 3, 1958"
Ivan Nielsen,DF,184,82,"October 9, 1956"
Frank Arnesen,MF,181,72,"September 30, 1956"
Henrik Andersen,DF,185,0,"May 7, 1965"
Jens Jørn Bertelsen,MF,171,0,"February 15, 1952"
Jesper Olsen,FW-MF,167,0,"March 20, 1961"
Lars Høgh,GK,182,90,"January 14, 1959"
Troels Rasmussen,GK,193,90,"April 7, 1961"
Jan Mølby,MF,180,78,"July 4, 1963"
John Sivebæk,DF,183,0,"October 25, 1961"
John Eriksen,FW,180,0,"November 20, 1957"
Allan Simonsen,FW,166,0,"December 15, 1952"
Jan Bartram,MF,188,0,"March 6, 1962"
Flemming Christensen,FW,185,0,"April 10, 1958"
Per Frimann,MF,177,0,"June 4, 1962"
Kent Nielsen,DF,186,0,"December 28, 1961"
Ole Qvist,GK,184,78,"February 25, 1950"
Harald Schumacher,GK,186,78,"March 6, 1954"
Norbert Eder,DF,178,0,"November 7, 1955"
Karlheinz Förster,DF,178,0,"July 25, 1958"
Lothar Matthäus,DF-MF,174,72,"March 21, 1961"
Klaus Allofs,FW,174,0,"December 5, 1956"
Hans-Peter Briegel,DF-MF,188,0,"October 11, 1955"
Felix Magath,MF,172,74,"July 26, 1953"
Thomas Berthold,DF,185,81,"November 12, 1964"
Ditmar Jakobs,DF,180,0,"August 28, 1953"
Andreas Brehme,DF-MF,176,75,"November 9, 1960"
